course_id,title,subject,level,description,rating,students,duration,price,instructor,prerequisites,skills,tags,language,certificate
C015,Microservices Architecture,DevOps,Advanced,Design and deploy microservices covering service mesh API gateways event-driven architecture and monitoring,4.8,7234,58,84.99,Rachel Green,Cloud Computing with AWS,Microservices|Docker|Kubernetes,microservices|architecture|cloud,English,Yes
C016,Flutter Mobile Development,Programming,Intermediate,Build cross-platform mobile apps using Flutter and Dart covering widgets state management and Firebase integration,4.6,10234,46,59.99,Kevin Park,None,Flutter|Dart|Mobile Apps,flutter|mobile|cross-platform,English,Yes
C017,Data Visualization with Tableau,Data Science,Beginner,Create interactive dashboards using Tableau covering charts graphs maps and storytelling with data,4.5,14789,32,49.99,Sophie Turner,None,Tableau|Data Visualization|Dashboards,data viz|tableau|analytics,English,Yes
C018,Docker and Kubernetes,DevOps,Intermediate,Containerization and orchestration using Docker Kubernetes helm charts deployment and scaling strategies,4.7,9567,45,64.99,Alex Johnson,None,Docker|Kubernetes|Containers,devops|docker|kubernetes,English,Yes
C019,Figma UI Design,Design,Beginner,Design user interfaces using Figma covering components prototyping collaboration and design systems,4.6,11234,28,39.99,Isabella Martinez,None,Figma|UI Design|Prototyping,design|figma|UI,English,Yes
C020,API Development with Node.js,Web Dev,Intermediate,Build RESTful APIs using Node.js Express MongoDB authentication testing and deployment,4.7,12890,42,54.99,Marcus Williams,Web Development Bootcamp,Node.js|Express|REST API,API|backend|nodejs,English,Yes
C021,TensorFlow Deep Learning,AI/ML,Advanced,Advanced deep learning with TensorFlow covering CNNs RNNs GANs transfer learning and model deployment,4.8,6234,62,89.99,Dr. Alan Turing,Advanced Machine Learning,TensorFlow|Deep Learning|Neural Networks,AI|deep learning|tensorflow,English,Yes
C022,Graphic Design Masterclass,Design,Intermediate,Advanced graphic design covering typography color theory branding logo design and Adobe Creative Suite,4.5,13567,48,59.99,Emma Davis,Photoshop for Beginners,Graphic Design|Typography|Branding,design|graphics|branding,English,Yes
C023,Python Django Framework,Web Dev,Intermediate,Full stack web development using Django covering MVT architecture ORM authentication and REST framework,4.6,10567,50,59.99,Lucas Brown,Python for Data Science,Django|Python|Web Framework,python|django|web development,English,Yes
C024,React Advanced Patterns,Web Dev,Advanced,Advanced React covering hooks context API performance optimization testing and architectural patterns,4.7,8234,44,69.99,Sophia Lee,Web Development Bootcamp,React|Hooks|Advanced Patterns,react|javascript|frontend,English,Yes
C025,Business Analytics,Business,Intermediate,Business intelligence analytics covering KPIs metrics dashboards predictive analytics and decision making,4.5,15234,40,54.99,William Taylor,Excel Data Analysis,Business Analytics|KPIs|BI,business|analytics|intelligence,English,Yes
