user_id,course_id,title,subject,level,skills,rating,reviewcount,students,price,platform,prerequisites,duration,instructor,language,description
9,C18,iOS App Development Swift,Mobile Dev,Intermediate,"Swift, iOS",4.7,2100,47000,99,Udemy,None,35 hours,Apple Developer,English,Build native iOS applications
9,C30,Flutter Mobile App Development,Mobile Dev,Intermediate,"Flutter, Dart",4.8,2400,48000,79,Udemy,None,28 hours,Flutter Expert,English,Cross-platform mobile development
10,C15,UI/UX Design Principles,Design,Beginner,"Design, Figma",4.7,2200,56000,49,Udemy,None,14 hours,Design Mentor,English,User interface and experience design
10,C41,Photoshop for Beginners,Design,Beginner,"Photoshop, Design",4.6,3800,91000,39,Udemy,None,14 hours,Design Expert,English,Adobe Photoshop fundamentals
11,C20,Deep Learning Specialization,AI,Advanced,"Deep Learning, Neural Networks",4.9,4500,67000,149,Coursera,Advanced Machine Learning,45 hours,Prof. Andrew Ng,English,Comprehensive deep learning course
11,C32,Computer Vision with OpenCV,AI,Advanced,"OpenCV, Computer Vision",4.8,1900,27000,99,Udemy,Deep Learning Specialization,20 hours,CV Expert,English,Image processing computer vision
12,C17,Excel Data Analysis,Data Analysis,Beginner,"Excel, Data",4.5,3700,89000,29,Udemy,None,12 hours,Excel Expert,English,Master Microsoft Excel for data
12,C31,Power BI Data Analytics,Data Visualization,Intermediate,"Power BI, Analytics",4.7,1800,41000,69,Udemy,Excel Data Analysis,18 hours,Microsoft Partner,English,Business analytics with Power BI
13,C25,Game Development with Unity,Game Dev,Beginner,"Unity, C#",4.8,3100,74000,79,Udemy,None,30 hours,Game Developer,English,Create 2D and 3D games
14,C12,Blockchain and Cryptocurrency,Blockchain,Intermediate,"Blockchain, Ethereum",4.5,1600,24000,99,Udemy,None,18 hours,Crypto Expert,English,Understanding blockchain technology
15,C19,Linux System Administration,DevOps,Intermediate,"Linux, Shell",4.6,1900,38000,59,Linux Academy,None,18 hours,Linux Expert,English,Complete Linux administration
15,C47,Jenkins CI/CD Pipeline,DevOps,Intermediate,"Jenkins, CI/CD",4.7,1400,31000,59,Udemy,Linux System Administration,14 hours,DevOps Engineer,English,Continuous integration deployment
16,C26,R Programming for Data Science,Data Science,Intermediate,"R, Statistics",4.6,1700,38000,49,Coursera,None,18 hours,Stats Professor,English,Statistical computing and graphics
17,C28,Artificial Intelligence A-Z,AI,Beginner,"AI, Algorithms",4.7,2800,52000,89,Udemy,None,16 hours,AI Instructors,English,Introduction to AI covering search
18,C33,GraphQL API Development,Web Development,Advanced,"GraphQL, APIs",4.6,1200,23000,59,Udemy,Web Development Bootcamp,12 hours,API Developer,English,Modern API development with GraphQL
19,C34,Salesforce Administration,Business,Intermediate,"Salesforce, CRM",4.7,1500,32000,129,Trailhead,None,24 hours,Salesforce Expert,English,Salesforce CRM administration
20,C35,Kotlin Android Development,Mobile Dev,Intermediate,"Kotlin, Android",4.7,1800,39000,79,Udemy,None,32 hours,Android Developer,English,Build Android apps with Kotlin
21,C36,Apache Spark Big Data,Big Data,Advanced,"Spark, Big Data",4.8,1300,21000,119,Udemy,Data Science with Python,22 hours,Big Data Expert,English,Big data processing with Spark
22,C37,Vue.js Progressive Framework,Web Development,Intermediate,"Vue.js, JavaScript",4.6,1600,36000,59,Udemy,Web Development Bootcamp,20 hours,Vue Expert,English,Modern JavaScript framework Vue.js
23,C38,Financial Analysis and Modeling,Finance,Intermediate,"Finance, Excel",4.7,1400,28000,89,Coursera,Excel Data Analysis,18 hours,Finance Professor,English,Corporate finance financial modeling
24,C39,Selenium Test Automation,Testing,Intermediate,"Selenium, Testing",4.5,1500,33000,49,Udemy,None,16 hours,QA Expert,English,Automated testing with Selenium
25,C40,Microservices Architecture,DevOps,Advanced,"Microservices, Architecture",4.8,1200,19000,129,Udemy,Docker and Kubernetes,24 hours,Architect,English,Design and deploy microservices
26,C42,Ruby on Rails Web Development,Web Development,Intermediate,"Ruby, Rails",4.7,1300,27000,69,Udemy,None,28 hours,Rails Developer,English,Full-stack web development with Rails
27,C43,Hadoop Big Data Platform,Big Data,Advanced,"Hadoop, MapReduce",4.6,1100,18000,119,Udemy,Apache Spark Big Data,26 hours,Data Engineer,English,Distributed computing with Hadoop
28,C44,Swift Programming Language,Programming,Intermediate,"Swift, iOS",4.7,1600,34000,59,Udemy,None,18 hours,Swift Expert,English,Master Swift programming covering optionals
29,C45,Network Security Fundamentals,Security,Beginner,"Networking, Security",4.5,1800,42000,69,Udemy,None,16 hours,Network Expert,English,Networking basics security protocols
30,C46,Reinforcement Learning,AI,Advanced,"RL, Deep Learning",4.9,1000,14000,149,Coursera,Deep Learning Specialization,20 hours,RL Researcher,English,Advanced RL techniques covering Q-learning
